site_lance-id,x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7
ejsbol_E737,0.7141483667,0.3265018838,1.1507265377,0.2999532113,1.5725554463,0.2999532113,3.1684256528,0.2291567511,1.5725554463,0.1377113234,1.1507265377,0.1495107334,0.7141483667,0.1436110284
ejsbol_E1272,0.7082486616,0.4016149573,1.2126734404,0.3396680547,1.6197530864,0.3485176122,3.1418769802,0.260022037,1.6197530864,0.1656267567,1.2126734404,0.1892255768,0.7052988091,0.1597270517
ejsbol_E1277,0.7011330966,0.3650901575,1.0527312701,0.3262773721,1.5207677998,0.3239942671,2.3563842381,0.2463686963,1.5207677998,0.1641769155,1.04816506,0.1847248607,0.6988499915,0.1664600205
ejsbol_E1338,0.6928682728,0.3464682145,1.252738823,0.3011607712,1.9420592113,0.310869509,3.4177873667,0.2170183763,1.9420592113,0.1296397356,1.2559750689,0.1652384411,0.6928682728,0.1296397356
ejsbol_E1787,0.7374540391,0.3725010594,1.2021761462,0.3340412988,1.6701032334,0.3436562389,3.4136123803,0.2250719771,1.6701032334,0.151357436,1.2053811263,0.1769972764,0.7374540391,0.1449474759
ejsbol_E1902,0.7569876543,0.4209403794,1.1269876543,0.3909403794,1.7003209877,0.4042737127,3.5069876543,0.2942737127,1.7003209877,0.2176070461,1.1269876543,0.2409403794,0.753654321,0.2142737127
nydam_N908,0.6345377898,0.3972783403,1.3174646191,0.3606929745,1.9719361638,0.3688230558,4.1873833183,0.2875222428,1.9719361638,0.2102864704,1.3133995784,0.2184165517,0.6304727492,0.1777661452
nydam_N909,0.6012646793,0.4229094473,1.4264679313,0.3781940001,2.9061427281,0.3497387156,4.0077687444,0.2481126993,2.9102077687,0.1830720489,1.4224028907,0.2115273335,0.5971996387,0.1668118863
nydam_N910,0.4239057239,0.4145101372,0.8708754209,0.3917828645,1.5526936027,0.418298016,3.7269360269,0.3501161978,1.5489057239,0.2289040766,0.8708754209,0.2478434705,0.4276936027,0.221328319
nydam_N911,0.4608120148,0.3740705316,0.7357261041,0.3706341055,1.1790250732,0.3878162361,3.4573755886,0.298469157,1.1824614993,0.2159949302,0.7391625302,0.2263042086,0.4608120148,0.2125585041
nydam_N913,0.451273399,0.4013319311,0.9969988069,0.3686537629,1.503510413,0.3686537629,3.2844705765,0.2771548921,1.503510413,0.192191655,1.0002666237,0.2117985559,0.4545412158,0.1889238382
nydam_N915,0.6807432862,0.287521405,1.0656230113,0.2669028483,1.7425989563,0.2806485528,3.4539391625,0.2222293088,1.7425989563,0.1191365253,1.0690594374,0.1191365253,0.6841797124,0.081335838
nydam_N917,0.6636841462,0.2959647516,1.1785356313,0.2695621113,1.5712749053,0.2860637615,3.3369514729,0.2134565007,1.5712749053,0.1342485799,1.1752353013,0.14084924,0.6636841462,0.1144465997
nydam_N918,0.6386675984,0.3315628888,1.1449569066,0.2969716938,1.516026089,0.3001163479,3.1826927556,0.2183553416,1.516026089,0.158606914,1.1418122525,0.161751568,0.6386675984,0.124015719
nydam_N919,0.5077966856,0.2820725729,1.1444333222,0.2490395399,2.0153041931,0.2700605609,3.0032921811,0.2190095098,2.0123011901,0.1409314318,1.1414303192,0.1349254258,0.5077966856,0.0838743747
nydam_N922,0.5148816423,0.2713659941,1.0353294556,0.2567466735,1.5440818123,0.2655182659,2.9036786279,0.1982693912,1.5411579482,0.0900864187,1.0324055914,0.095934147,0.5119577782,0.0608477775
nydam_N923,0.5529131471,0.3087524941,1.0880008664,0.2678168215,1.5704570067,0.2882846578,2.9154862465,0.212261266,1.5733809833,0.1420858274,1.0880008664,0.1567057104,0.5558371237,0.1040741315
nydam_N924,0.4897786676,0.3299599435,0.970259148,0.2909209044,1.6909798688,0.2939239074,2.8291180069,0.2248548384,1.6879768658,0.1527827663,0.970259148,0.1557857693,0.4897786676,0.1107407242
nydam_N927,0.4002567901,0.4390638112,0.9122567901,0.4017304779,1.2295901235,0.4097304779,2.6429234568,0.3483971445,1.2322567901,0.2710638112,0.9122567901,0.2683971445,0.4002567901,0.2257304779
nydam_N929,0.4033496028,0.3568435299,0.6539955977,0.3465076126,0.9744090344,0.3645954679,2.5687242798,0.3154998607,0.9769930137,0.2302285428,0.6539955977,0.2379804808,0.4033496028,0.2173086462
nydam_N931,0.4325292387,0.4096575317,0.804913708,0.3732003109,0.9403262422,0.3732003109,2.6017338742,0.295077695,0.937722155,0.2377877767,0.804913708,0.2403918639,0.4351333259,0.2169550791
nydam_N933,0.4573138795,0.395162447,0.8184249906,0.3749604268,1.2552936775,0.390111942,2.5229704452,0.3143543662,1.25781893,0.2209200228,0.8184249906,0.2259705278,0.4573138795,0.193142245
nydam_N934,0.4330633051,0.3608932532,0.925586904,0.3285558452,1.316123293,0.3360183239,2.5126073893,0.2812934796,1.3186107859,0.2141311707,0.9280743969,0.2141311707,0.4330633051,0.1842812556
